variant,architecture,level,Q,I_h_ind,I_h_pool,I_r,D_ind,D_pool,I_hr_ind,I_hr_pool,I_h_ind_lo,I_h_pool_lo,I_r_lo,D_ind_lo,D_pool_lo,I_hr_ind_lo,I_hr_pool_lo,I_h_ind_hi,I_h_pool_hi,I_r_hi,D_ind_hi,D_pool_hi,I_hr_ind_hi,I_hr_pool_hi,I_h_ind_leverage,I_h_ind_cook,I_h_ind_flag,I_h_pool_leverage,I_h_pool_cook,I_h_pool_flag,I_r_leverage,I_r_cook,I_r_flag,D_ind_leverage,D_ind_cook,D_ind_flag,D_pool_leverage,D_pool_cook,D_pool_flag,I_hr_ind_leverage,I_hr_ind_cook,I_hr_ind_flag,I_hr_pool_leverage,I_hr_pool_cook,I_hr_pool_flag
alexnet_baseline,alexnet,baseline,2.5561481100044317,1.4089563583013303,1.812575591779359,0.4213499459871215,0.9876064123142088,1.3912256457922376,1.0352078859896576,1.4073622870387237,1.3554693791282002,1.7464120435675201,0.3752011359189104,0.9262830703176282,1.3167949284222529,0.9828000951709722,1.3354816279757595,1.4613007221505219,1.877891541001229,0.46423895678924715,1.0496224173394573,1.4647374419586,1.0900701895260907,1.4768925697782134,0.3079583935369842,0.12701999925805474,True,0.3079583935369842,0.01014766135752195,True,0.3079583935369842,0.25097087053151007,True,0.3079583935369842,0.1873980038622375,True,0.3079583935369842,0.3707589251910424,True,0.3079583935369842,0.35680049211727655,True,0.3079583935369842,0.5046565162634505,True
alexnet_epoch00,alexnet,epoch00,1.37685392992232,0.8002616578643273,1.0929376313487422,0.5894665316975433,0.21079512616678409,0.503471099651199,0.3627755558294857,0.568047647716456,0.7491510515698782,1.0246488435179935,0.5224096112843436,0.15053458370102935,0.4301998584586565,0.32186302102492237,0.5056550707812433,0.8538013230518715,1.1597653557559584,0.6527560727783426,0.27486613994002607,0.5793692187698303,0.405880146875003,0.6318491984279985,0.0557248912288181,0.23535231105263488,True,0.0557248912288181,0.27170365844460875,True,0.0557248912288181,0.18494693959696426,False,0.0557248912288181,0.09456807902051709,False,0.0557248912288181,0.0740071639786063,False,0.0557248912288181,0.08545729585919187,False,0.0557248912288181,0.07146562170532404,False
alexnet_epoch01,alexnet,epoch01,0.9421893690230096,0.4081671163058246,0.5915258928034516,0.3349237629573025,0.07324335334852221,0.25660212984614916,0.19743679968392466,0.3277935667488728,0.36971617498940196,0.5352332141115818,0.28680294263686695,0.025157507647751043,0.19767135841911687,0.16764995616246356,0.2798032377285176,0.44856217081011,0.6504703839735091,0.38680108385496764,0.11914173676751652,0.31690424750633034,0.2286682356866371,0.37744895778101023,0.05699724812478977,6.210959633722083e-05,False,0.05699724812478977,0.0012990189152453137,False,0.05699724812478977,0.026183794760387555,False,0.05699724812478977,0.03175024415154995,False,0.05699724812478977,0.03925189246919511,False,0.05699724812478977,0.028782110518437386,False,0.05699724812478977,0.03176840504378741,False
alexnet_epoch10,alexnet,epoch10,0.8287915895524735,0.35070881841282975,0.5311276991167972,0.32428571867131484,0.026423099741514865,0.20684198044548238,0.1556178518000464,0.2718750920788721,0.3126079042123823,0.4744252599688138,0.27267818846441677,-0.0203565750933552,0.14747477941920784,0.12628205630227715,0.22332684009837886,0.38716956356674864,0.5844338211205383,0.37538177136337814,0.07737841746739489,0.2668659230372144,0.18554473085328946,0.3210554042357562,0.06567802740436772,0.0027367394276464232,False,0.06567802740436772,0.0025354739776262195,False,0.06567802740436772,0.028803522365758165,False,0.06567802740436772,0.02928571181382401,False,0.06567802740436772,0.029390023032317133,False,0.06567802740436772,0.021086819225887097,False,0.06567802740436772,0.024132060756301348,False
densenet161_baseline,densenet161,baseline,1.8396893520717112,0.8797370815134031,1.233132498570899,0.009248280700215447,0.8704888008131876,1.2238842178706832,0.8724410296524846,1.2248099821808358,0.8284591077186725,1.1637684137313244,0.0027402207395682363,0.8185398888624096,1.1544145008569708,0.8216254349744772,1.1551897694679925,0.9314232440134433,1.2978353802744687,0.01605563878128372,0.921475203211875,1.2906092376431568,0.9229176794270221,1.2910811796107713,0.11017244167243609,0.13510616202992304,False,0.11017244167243609,0.05260333380167573,False,0.11017244167243609,0.1752504813773545,False,0.11017244167243609,0.11342971833507258,False,0.11017244167243609,0.1440200299379662,False,0.11017244167243609,0.12565797955251032,False,0.11017244167243609,0.1544996150152466,False
densenet161_epoch00,densenet161,epoch00,0.8838571490230337,0.3699376932071991,0.559209473399716,0.10618694207436673,0.26375075113283236,0.45302253132534936,0.2958230917463637,0.46821270271686066,0.3300044948901514,0.5013270223420011,0.07815229412786755,0.2228544657105159,0.39443237165870676,0.26018864117147933,0.4138273795068162,0.41408429306236755,0.6209509575421168,0.13695306089660106,0.3060514382481816,0.5119107325807828,0.3337266205416504,0.5258638315412303,0.061031172410913534,1.3587591256018912e-05,False,0.061031172410913534,5.901580484502769e-06,False,0.061031172410913534,0.012141853640904261,False,0.061031172410913534,0.014869356323287293,False,0.061031172410913534,0.01582379670806009,False,0.061031172410913534,0.00872971579618534,False,0.061031172410913534,0.012611726553255265,False
densenet161_epoch01,densenet161,epoch01,0.7021001231174573,0.23645465558190382,0.38564755150056484,0.12712731642146735,0.10932733916043649,0.2585202350790976,0.17134622232323382,0.28897933403577175,0.20272436446269151,0.333112560623221,0.09435889840555253,0.07022829717628133,0.207644064956627,0.14301053625793983,0.24102181555457594,0.27000225466572675,0.4380964581582551,0.1585174935681836,0.1463930592740001,0.3107368511591833,0.20030811051986558,0.33927955442683294,0.07946258466861994,0.012519939994811097,False,0.07946258466861994,0.019590784477570917,False,0.07946258466861994,0.007003268742592508,False,0.07946258466861994,0.002871325999926401,False,0.07946258466861994,0.0013722056968181755,False,0.07946258466861994,0.0014439007004128385,False,0.07946258466861994,0.0006945868440406017,False
densenet161_epoch10,densenet161,epoch10,0.47674039494697507,0.1507383359767343,0.25431851221322366,0.057314776965962155,0.09342355901077214,0.1970037352472615,0.12035136220441849,0.21308503346285748,0.12481528274911467,0.21343771038547446,0.03402309739236688,0.06250773444693652,0.1533713366998428,0.09569057419989621,0.17000179682463445,0.17769862325154903,0.29868257917365454,0.08153930946937667,0.12577338912075506,0.24232745291952787,0.14655338881507518,0.2549812779301937,0.11464060962151293,0.01996678932524072,False,0.11464060962151293,0.00029806702698631943,False,0.11464060962151293,0.042992331360958466,False,0.11464060962151293,0.07979710097972306,False,0.11464060962151293,0.05853544865535936,False,0.11464060962151293,0.06349923280017675,False,0.11464060962151293,0.0492712074356347,False
googlenet_baseline,googlenet,baseline,1.7532478758743646,0.955365676443482,1.3088758561464373,0.06307015546911711,0.8922955209743649,1.2458057006773204,0.8991428383265049,1.2493226433357503,0.9040522545987276,1.2405067988976701,0.04462264538371922,0.8403521903434416,1.1778698979342621,0.8498691450921372,1.18279028638225,1.0063807196526502,1.3746335329961827,0.08137953872546294,0.9438840639172071,1.3123396200542026,0.9492838182372652,1.3156985521783895,0.09563278829598551,0.0922808376679342,False,0.09563278829598551,0.16904805856918914,False,0.09563278829598551,0.08393968960468261,False,0.09563278829598551,0.18727331020790625,False,0.09563278829598551,0.247703197953842,True,0.09563278829598551,0.271255711617034,True,0.09563278829598551,0.2916563421849653,True
googlenet_epoch00,googlenet,epoch00,1.2225214033496643,0.5814947574914887,0.8322625098560469,0.3381448627632835,0.2433498947282052,0.49411764709276346,0.3404718787703467,0.5364771914002799,0.5333373765640946,0.7659454360340128,0.28550175219930246,0.19194147433184872,0.42844945893004666,0.3008833555922642,0.4771403713955356,0.6318633696264615,0.8987265198187199,0.38934436154441443,0.29855991281605365,0.5627576101533591,0.3808801983324647,0.5972699756661191,0.050364706782226924,0.0005099948204234706,False,0.050364706782226924,0.002944284092750699,False,0.050364706782226924,0.01887376832811903,False,0.050364706782226924,0.02119845813277903,False,0.050364706782226924,0.017743523337987194,False,0.050364706782226924,0.02758560284107606,False,0.050364706782226924,0.020304405121703152,False
