run,fold,noise,combiner,weights
main:densenet161_epoch10,1,all,Frhp,"[0.5254969283781992, 0.21333059035561594, 0.4768413513101333]"
main:densenet161_epoch10,1,all,Fh,"[0.8417855141842108, 0.5771134965947784]"
main:densenet161_epoch10,1,all,Frh,"[0.6251300637350358, 0.20454316727033062, 0.5528119367230011]"
main:densenet161_epoch10,2,all,F0,[0.9846674945738281]
main:densenet161_epoch10,2,all,Fr,"[0.7203729833418695, 0.25566152192503744]"
main:densenet161_epoch10,2,all,Fhp,"[0.7081755317268471, 0.45819044318365765]"
main:densenet161_epoch10,2,all,Frhp,"[0.506921216496549, 0.19114820706260507, 0.4383533661338631]"
main:densenet161_epoch10,2,all,Fh,"[0.8124113815138816, 0.5471729403600756]"
main:densenet161_epoch10,2,all,Frh,"[0.6070466893799134, 0.20154015618090299, 0.5216172357310325]"
main:densenet161_epoch10,3,all,F0,[0.9773477725614317]
main:densenet161_epoch10,3,all,Fr,"[0.7133768144943154, 0.25566600025342673]"
main:densenet161_epoch10,3,all,Fhp,"[0.7342740259004558, 0.4944939695675288]"
main:densenet161_epoch10,3,all,Frhp,"[0.5323730773004913, 0.17952975020480288, 0.47197738164148906]"
main:densenet161_epoch10,3,all,Fh,"[0.8193372149907454, 0.5775086352093799]"
main:densenet161_epoch10,3,all,Frh,"[0.6083264153862081, 0.2024741300165604, 0.555569598430516]"
main:densenet161_epoch10,4,all,F0,[0.9978725625633547]
main:densenet161_epoch10,4,all,Fr,"[0.7619308884090997, 0.2356965017630953]"
main:densenet161_epoch10,4,all,Fhp,"[0.7601476729422375, 0.4621036337427675]"
main:densenet161_epoch10,4,all,Frhp,"[0.5645915928789189, 0.1760349872975333, 0.44652871095170854]"
main:densenet161_epoch10,4,all,Fh,"[0.8489792015358282, 0.5568232980113165]"
main:densenet161_epoch10,4,all,Frh,"[0.6466699074272368, 0.1851471130297155, 0.532679955309115]"
main:densenet161_epoch10,5,all,F0,[0.9978123419913512]
