forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
"F(a, r_a)",95,0.95,1.0,607,0.9807600070437735,0.9868204283360791
"F(a, r_a)",110,0.0,0.01,11941,0.0016865691138229512,0.0010049409597186166
"F(a, r_a)",110,0.01,0.02,526,0.014350143035511262,0.015209125475285171
"F(a, r_a)",110,0.02,0.05,498,0.031645027459947045,0.04417670682730924
"F(a, r_a)",110,0.05,0.1,255,0.06909542942433441,0.08235294117647059
"F(a, r_a)",110,0.1,0.2,157,0.14401399810952234,0.1464968152866242
"F(a, r_a)",110,0.2,0.3,83,0.24803360010746345,0.39759036144578314
"F(a, r_a)",110,0.3,0.4,64,0.3485861214458661,0.28125
"F(a, r_a)",110,0.4,0.5,49,0.44413561339985885,0.42857142857142855
"F(a, r_a)",110,0.5,0.6,42,0.5547458565649576,0.6190476190476191
"F(a, r_a)",110,0.6,0.7,46,0.6496687963246336,0.6086956521739131
"F(a, r_a)",110,0.7,0.8,47,0.7439954739864476,0.6382978723404256
"F(a, r_a)",110,0.8,0.9,82,0.8537714791315548,0.8170731707317073
"F(a, r_a)",110,0.9,0.95,83,0.9276875392855961,0.8795180722891566
"F(a, r_a)",110,0.95,1.0,527,0.9800865209148822,0.9829222011385199
"F(a, r_a)",125,0.0,0.01,11000,0.002024759679383571,0.001090909090909091
"F(a, r_a)",125,0.01,0.02,865,0.01428821771858801,0.024277456647398842
"F(a, r_a)",125,0.02,0.05,822,0.0312589555334582,0.0413625304136253
"F(a, r_a)",125,0.05,0.1,369,0.07031714881060444,0.07859078590785908
"F(a, r_a)",125,0.1,0.2,261,0.14050877639118162,0.1724137931034483
"F(a, r_a)",125,0.2,0.3,137,0.24310609315445553,0.25547445255474455
"F(a, r_a)",125,0.3,0.4,96,0.35098281437070716,0.40625
"F(a, r_a)",125,0.4,0.5,73,0.4474966779876844,0.410958904109589
"F(a, r_a)",125,0.5,0.6,59,0.5508930811672873,0.5423728813559322
"F(a, r_a)",125,0.6,0.7,74,0.6494669105251045,0.6216216216216216
"F(a, r_a)",125,0.7,0.8,82,0.7560182560593336,0.7317073170731707
"F(a, r_a)",125,0.8,0.9,83,0.8549373642473146,0.7228915662650602
"F(a, r_a)",125,0.9,0.95,98,0.9280481913328467,0.8673469387755102
"F(a, r_a)",125,0.95,1.0,381,0.9787959281362195,0.9763779527559056
"F(a, r_a, h) pooled",80,0.0,0.01,13090,0.0012415573970340993,0.0002291825821237586
"F(a, r_a, h) pooled",80,0.01,0.02,165,0.01427617729560589,0.006060606060606061
"F(a, r_a, h) pooled",80,0.02,0.05,104,0.03136462647859062,0.038461538461538464
"F(a, r_a, h) pooled",80,0.05,0.1,52,0.06906542901313398,0.057692307692307696
"F(a, r_a, h) pooled",80,0.1,0.2,46,0.14094514387923365,0.10869565217391304
"F(a, r_a, h) pooled",80,0.2,0.3,24,0.254457683358776,0.25
"F(a, r_a, h) pooled",80,0.3,0.4,22,0.3561435177768839,0.36363636363636365
"F(a, r_a, h) pooled",80,0.4,0.5,14,0.4541365640689433,0.5
"F(a, r_a, h) pooled",80,0.5,0.6,10,0.548527196364316,0.6
