quantity,slope_all,all_lo,all_hi,n_flagged,flagged,slope_unflagged,unflagged_lo,unflagged_hi,sign_holds_unflagged
I_h_ind,0.6026277075192246,0.5746355889187731,0.6307887895694148,4,"alexnet_baseline, alexnet_epoch00, resnet152_baseline, vgg19_baseline",0.5907714547018871,0.5574052310677298,0.625106396377947,True
I_h_pool,0.75575059279921,0.7224080329327149,0.7896087245849367,4,"alexnet_baseline, alexnet_epoch00, resnet152_baseline, vgg19_baseline",0.7800645471480555,0.7384495416245133,0.8226015622678811,True
I_r,0.05545243780090429,0.03804997602118485,0.0727243427401241,2,"alexnet_baseline, vgg19_baseline",0.00736497740544039,-0.0099813238114138,0.02367598851919346,True
D_ind,0.5471752697183203,0.5119106415389559,0.5827432406115943,2,"alexnet_baseline, vgg19_baseline",0.5781701352201462,0.5411101499895592,0.6149955942482668,True
D_pool,0.7002981549983057,0.6590925418078583,0.7413811085738455,3,"alexnet_baseline, googlenet_baseline, vgg19_baseline",0.6998815863182207,0.658699393809721,0.7415082261456961,True
I_hr_ind,0.5249092712892498,0.4930458357972861,0.556769065591829,3,"alexnet_baseline, googlenet_baseline, vgg19_baseline",0.5175937475514981,0.48645199626416247,0.5485906888296,True
I_hr_pool,0.6868807644642383,0.6475879493197398,0.727005955741473,3,"alexnet_baseline, googlenet_baseline, vgg19_baseline",0.6912347118941461,0.6514469613700362,0.7318737546957162,True
