noise_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
80,low,airplane,9,0.30640776699029126,0.062135922330097085,0.012427184466019417,0.018640776699029128,0.062135922330097085,0.04349514563106796,0.006213592233009708,0.08660194174757281,0.08038834951456311,0.10485436893203882,0.06485436893203883,0.015533980582524271,0.0741747572815534,0.037281553398058255,0.012427184466019417,0.012427184466019417
80,low,bear,24,0.002325581395348837,0.5848837209302326,0.04709302325581395,0.07325581395348837,0.0,0.015116279069767442,0.0011627906976744186,0.04709302325581395,0.012790697674418604,0.0011627906976744186,0.13546511627906976,0.05988372093023255,0.004651162790697674,0.002325581395348837,0.0034883720930232558,0.009302325581395349
80,low,bicycle,28,0.026476101218369262,0.08692596063730083,0.5096063730084349,0.016869728209934397,0.05670103092783505,0.01874414245548266,0.0018744142455482662,0.007497656982193065,0.07731958762886598,0.052952202436738524,0.05459231490159325,0.04709465791940018,0.0018744142455482662,0.0037488284910965324,0.03022492970946579,0.007497656982193065
80,low,bird,35,0.0021488047273704003,0.048616706956755296,0.0204136449100188,0.5329035723878593,0.005372011818426,0.06956755304861671,0.0,0.0400214880472737,0.008595218909481601,0.10448562986838571,0.1270480795057749,0.0236368520010744,0.005372011818426,0.007520816545796401,0.0042976094547408005,0.0
80,low,boat,26,0.01810310901219992,0.04427390791027155,0.08323494687131051,0.06414797323888233,0.39433293978748524,0.023612750885478158,0.009445100354191263,0.03955135773317592,0.12987012987012989,0.01652892561983471,0.03876426603699331,0.023612750885478158,0.009445100354191263,0.0743801652892562,0.014167650531286895,0.01652892561983471
80,low,bottle,42,0.019240379810094955,0.0069965017491254375,0.046476761619190406,0.001999000499750125,0.043478260869565216,0.6426786606696652,0.0009995002498750624,0.005997001499250375,0.09395302348825588,0.024237881059470265,0.00399800099950025,0.005997001499250375,0.0,0.04847576211894053,0.05347326336831584,0.001999000499750125
80,low,car,8,0.031746031746031744,0.023809523809523808,0.018518518518518517,0.052248677248677246,0.08134920634920635,0.08134920634920635,0.1402116402116402,0.007936507936507936,0.047619047619047616,0.11243386243386244,0.023809523809523808,0.0291005291005291,0.021164021164021163,0.13624338624338625,0.12103174603174603,0.07142857142857142
80,low,cat,25,0.0020757654385054488,0.14063310845874416,0.043072132848988066,0.0892579138557343,0.0020757654385054488,0.038920601971977165,0.003113648157758173,0.38038401660612353,0.07057602490918526,0.005189413596263622,0.15879605604566682,0.02387130254281266,0.0072651790347690705,0.028541774779449924,0.005189413596263622,0.0010378827192527244
80,low,chair,61,0.00231394440748561,0.006016255459462586,0.005090677696468342,0.00231394440748561,0.007867410985451075,0.1265727590894629,0.000925577762994244,0.008792988748445318,0.4395337402018917,0.02039163509096694,0.01854047956497845,0.03846932577444827,0.021780001735458306,0.076504786972493,0.19567292395800193,0.02921354814450583
80,low,clock,27,0.0016913319238900633,0.018604651162790697,0.013530655391120507,0.00507399577167019,0.024947145877378438,0.07188160676532769,0.0033826638477801266,0.00507399577167019,0.13530655391120508,0.5044397463002114,0.00507399577167019,0.01014799154334038,0.06342494714587739,0.016913319238900635,0.10866807610993658,0.011839323467230442
80,low,dog,27,0.0019583843329253367,0.1287637698898409,0.006854345165238677,0.042839657282741736,0.003916768665850673,0.04675642594859241,0.0009791921664626683,0.11946144430844553,0.014687882496940023,0.03598531211750306,0.5089351285189718,0.06536107711138311,0.007833537331701347,0.002937576499388005,0.002937576499388005,0.009791921664626682
80,low,elephant,11,0.0,0.04051915163026275,0.020259575815131374,0.025324469768914212,0.012662234884457106,0.062361506805951254,0.0,0.010129787907565687,0.12219056663501107,0.0,0.043051598607154164,0.6381766381766382,0.0025324469768914218,0.0050648939537828435,0.010129787907565687,0.0075973409306742635
80,low,keyboard,57,0.004251299008030232,0.030703826169107225,0.0014170996693434106,0.0018894662257912139,0.017005196032120928,0.0406235238545111,0.0018894662257912139,0.01653282947567312,0.08738781294284365,0.08360888049126122,0.0018894662257912139,0.018422295701464336,0.40151157298063295,0.06140765233821445,0.22957014643363252,0.0018894662257912139
80,low,knife,17,0.002551834130781499,0.0481658692185008,0.015311004784688996,0.0,0.0430622009569378,0.06347687400318978,0.005103668261562998,0.007655502392344498,0.17990430622009568,0.012759170653907496,0.007655502392344498,0.020414673046251993,0.05071770334928229,0.48995215311004786,0.0430622009569378,0.010207336523125997
80,low,oven,87,0.0012502197651931004,0.0012502197651931004,0.0018753296477896505,0.0,0.002500439530386201,0.09988083842863003,0.0003125549412982751,0.0006251098825965502,0.07700572366236252,0.05823289250063488,0.011896622453165594,0.002812994471684476,0.006251098825965502,0.024105799847629467,0.7088746068644879,0.003125549412982751
80,low,truck,19,0.08747461069735953,0.006499661475964793,0.004333107650643196,0.002166553825321598,0.07190250507786052,0.11821259309410968,0.006499661475964793,0.002166553825321598,0.09830737982396749,0.006499661475964793,0.004333107650643196,0.010832769126607989,0.017332430602572783,0.019498984427894384,0.13297224102911306,0.4109681787406906
80,medium,airplane,32,0.8370098039215685,0.0,0.0028011204481792717,0.004201680672268907,0.05707282913165266,0.0,0.027836134453781514,0.0014005602240896359,0.004201680672268907,0.0,0.0056022408963585435,0.0,0.0,0.008403361344537815,0.04726890756302521,0.004201680672268907
80,medium,bear,65,0.0,0.9091157578242449,0.0007288961778506674,0.0007288961778506674,0.0014577923557013348,0.0014577923557013348,0.0,0.03198031980319803,0.0,0.0007288961778506674,0.048699375882647715,0.003644480889253337,0.0007288961778506674,0.0,0.0,0.0007288961778506674
80,medium,bicycle,26,0.0,0.005772005772005772,0.9434824434824436,0.0,0.001924001924001924,0.0,0.001924001924001924,0.0,0.007696007696007696,0.025733525733525737,0.001924001924001924,0.0,0.003848003848003848,0.0,0.005772005772005772,0.001924001924001924
80,medium,bird,40,0.0,0.04169157202630006,0.004781829049611476,0.9057830245068738,0.0035863717872086074,0.001195457262402869,0.0,0.004781829049611476,0.02502988643156007,0.0,0.0035863717872086074,0.005977286312014345,0.001195457262402869,0.0,0.002390914524805738,0.0
80,medium,boat,54,0.020595968448729185,0.015687992988606486,0.0021034180543383,0.0035056967572304996,0.7375985977212971,0.0042068361086766,0.005609114811568799,0.0049079754601227,0.06695880806310253,0.017791411042944783,0.0028045574057843996,0.016389132340052587,0.016389132340052587,0.04706397896581946,0.0035056967572304996,0.034881682734443475
80,medium,bottle,63,0.0,0.0014570621983425918,0.0014570621983425918,0.0014570621983425918,0.014115290046443857,0.8695929332483381,0.0,0.0007285310991712959,0.030416173390401605,0.0007285310991712959,0.017029414443129044,0.0007285310991712959,0.0036426554958564794,0.0021855932975138877,0.05573262908660414,0.0007285310991712959
80,medium,car,53,0.005009840758633029,0.015208445160135982,0.016639828234031134,0.015924136697083556,0.05206655931293613,0.01878690284487386,0.595276435856146,0.0014313830738951511,0.0035784576847378777,0.0527822508498837,0.04777241009125067,0.016639828234031134,0.02308105206655931,0.0028627661477903022,0.024512435140454463,0.1084272678475577
80,medium,cat,50,0.0,0.09434061873086264,0.0025340513145391194,0.0387498680181607,0.0008446837715130398,0.0033787350860521592,0.0,0.7691373666983423,0.01853025023756731,0.0,0.06488227219934538,0.005068102629078239,0.0016893675430260796,0.0,0.0008446837715130398,0.0
80,medium,chair,55,0.002759413624604771,0.015004311583788444,0.0018396090830698477,0.0018396090830698477,0.002759413624604771,0.03460764587525151,0.0,0.0018396090830698477,0.8385743029606209,0.002759413624604771,0.005518827249209542,0.03276803679218166,0.016843920666858293,0.018683529749928138,0.022362747916067835,0.0018396090830698477
80,medium,clock,39,0.0,0.0,0.019399011030810192,0.019399011030810192,0.023050589577786232,0.0036515785469760365,0.002434385697984024,0.0,0.004868771395968048,0.8216051730696082,0.002434385697984024,0.020616203879802203,0.02791936097375428,0.00608596424496006,0.048535564853556486,0.0
80,medium,dog,75,0.0005393379626508461,0.15937436796332502,0.0010786759253016921,0.015843052652868606,0.0010786759253016921,0.015303714690217757,0.0,0.062495786422166785,0.0021573518506033842,0.0016180138879525383,0.6989145823501651,0.0043147037012067685,0.0016180138879525383,0.011528348951661835,0.012067686914312682,0.012067686914312682
80,medium,elephant,46,0.0,0.046178557087404634,0.0032124213626020613,0.023624682104135996,0.0010708071208673537,0.018270646499799224,0.0,0.0021416142417347074,0.019341453620666575,0.0032124213626020613,0.028978717708472757,0.8324856110293133,0.0,0.01719983937893187,0.0032124213626020613,0.0010708071208673537
80,medium,keyboard,75,0.0004602727115816121,0.012830101835337436,0.0004602727115816121,0.0013808181347448362,0.0009205454231632242,0.048558771071860074,0.011449283700592602,0.012369829123755824,0.013750647258500661,0.015131465393245497,0.0,0.0,0.7117542143720154,0.015131465393245497,0.15488176744721247,0.0009205454231632242
80,medium,knife,42,0.002347762289068232,0.002347762289068232,0.0035216434336023477,0.007043286867204695,0.0,0.03917828319882612,0.002347762289068232,0.018415260454878946,0.041526045487894354,0.002347762289068232,0.002347762289068232,0.020763022743947177,0.004695524578136464,0.8276595744680851,0.004695524578136464,0.020763022743947177
80,medium,oven,91,0.0007070104504982214,0.0003535052252491107,0.0,0.0,0.0003535052252491107,0.05238505556660259,0.0003535052252491107,0.0010605156757473322,0.04480678730032479,0.06526590221161706,0.0010605156757473322,0.019752104460794062,0.013587857095512693,0.013587857095512693,0.7749055478226288,0.01182033096926714
80,medium,truck,43,0.04103479036574487,0.0011894142134998512,0.0011894142134998512,0.0,0.04698186143324412,0.018138566755872734,0.04698186143324412,0.0,0.042224204579244716,0.020517395182872437,0.0,0.0,0.0,0.0011894142134998512,0.07106749925661612,0.7094855783526612
80,high,airplane,331,0.9720968425236798,0.0030073693624899974,4.1841660695513004e-05,0.000125524982086539,0.01244789405691512,0.0,4.1841660695513004e-05,0.003091052683881023,4.1841660695513004e-05,4.1841660695513004e-05,8.368332139102601e-05,0.0,0.000125524982086539,0.005847372082197943,0.0029236860410989714,8.368332139102601e-05
80,high,bear,215,0.0,0.9745744833464132,0.0,0.000135017678877328,0.0,0.004734057365636313,0.0,0.0008101060732639679,0.000135017678877328,0.000270035357754656,0.009603132410149954,0.009333097052395298,0.000270035357754656,0.0,0.0,0.000135017678877328
80,high,bicycle,275,0.00012906764758078827,6.453382379039414e-05,0.9917074036429343,0.0,0.0036300275882096703,6.453382379039414e-05,6.453382379039414e-05,6.453382379039414e-05,0.00045173676653275903,0.0,0.0035654937644192764,6.453382379039414e-05,6.453382379039414e-05,6.453382379039414e-05,0.0,6.453382379039414e-05
