variant,selection_log_loss,selection_brier,selection_accuracy
vgg19_epoch10,0.4361701243202462,0.18160069151247243,0.87
densenet161_epoch10,0.47674039494697507,0.19708982225429159,0.855
vgg19_epoch01,0.6081605353268423,0.2669536334413375,0.8108333333333333
resnet152_epoch01,0.6902458887419202,0.30039264270107785,0.7758333333333334
densenet161_epoch01,0.7021001231174573,0.2929920924352742,0.8
googlenet_epoch01,0.7489722934028341,0.3283874137920786,0.7591666666666667
resnet152_epoch10,0.807699670847449,0.34183208199090104,0.7491666666666666
alexnet_epoch10,0.8287915895524735,0.36637182631057336,0.7241666666666666
googlenet_epoch10,0.8400390861153568,0.359345986517624,0.7491666666666666
densenet161_epoch00,0.8838571490230337,0.36158359125100054,0.7383333333333333
alexnet_epoch01,0.9421893690230096,0.40349124540897385,0.71
vgg19_epoch00,1.0752661783020268,0.43355203515158225,0.6733333333333333
resnet152_epoch00,1.1766174113503716,0.4704494564322895,0.6491666666666667
googlenet_epoch00,1.2225214033496643,0.5097483999872416,0.6116666666666667
alexnet_epoch00,1.37685392992232,0.5665350088921666,0.5516666666666666
googlenet_baseline,1.7532478758743646,0.656149179831008,0.4558333333333333
densenet161_baseline,1.8396893520717112,0.634649979219397,0.49416666666666664
resnet152_baseline,2.1304776979875593,0.70690206377381,0.44916666666666666
vgg19_baseline,2.3125477577600577,0.791306066381011,0.36583333333333334
alexnet_baseline,2.5561481100044317,0.8709952995573512,0.29333333333333333
