noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
125,0.4,0.5,319,0.4373606724059179,0.7021943573667712,human confusion row (individual)
125,0.5,0.6,103,0.5459208826711033,0.7087378640776699,human confusion row (individual)
125,0.6,0.7,221,0.6499416394015297,0.8959276018099548,human confusion row (individual)
125,0.7,0.8,64,0.7542495021367224,0.921875,human confusion row (individual)
80,0.0,0.01,3800,0.0012557806600923753,0.0007894736842105263,raw baseline (a)
80,0.01,0.02,78,0.014651206908289614,0.038461538461538464,raw baseline (a)
80,0.02,0.05,75,0.029814259598322075,0.02666666666666667,raw baseline (a)
80,0.05,0.1,31,0.07758721538068018,0.0967741935483871,raw baseline (a)
80,0.1,0.2,35,0.14450528957010197,0.17142857142857143,raw baseline (a)
80,0.2,0.3,15,0.2527173156192521,0.3333333333333333,raw baseline (a)
80,0.3,0.4,17,0.34486035213941196,0.29411764705882354,raw baseline (a)
80,0.4,0.5,10,0.4499263399751913,0.3,raw baseline (a)
80,0.5,0.6,13,0.5429864216224191,0.5384615384615384,raw baseline (a)
80,0.6,0.7,15,0.661964658486476,0.6666666666666666,raw baseline (a)
80,0.7,0.8,5,0.7444706389860147,0.8,raw baseline (a)
80,0.8,0.9,16,0.8608146719755829,0.8125,raw baseline (a)
80,0.9,0.95,14,0.9325422567125504,0.8571428571428571,raw baseline (a)
80,0.95,1.0,196,0.9831344849584661,0.9897959183673469,raw baseline (a)
95,0.0,0.01,3718,0.0013180594375469725,0.0005379236148466917,raw baseline (a)
95,0.01,0.02,104,0.014420069805559722,0.028846153846153848,raw baseline (a)
95,0.02,0.05,108,0.030826642534916425,0.05555555555555555,raw baseline (a)
95,0.05,0.1,42,0.07395707688111948,0.023809523809523808,raw baseline (a)
95,0.1,0.2,40,0.1436509581946132,0.2,raw baseline (a)
95,0.2,0.3,22,0.25791020593278746,0.3181818181818182,raw baseline (a)
95,0.3,0.4,20,0.35144969964104034,0.35,raw baseline (a)
95,0.4,0.5,12,0.4411000329969003,0.25,raw baseline (a)
95,0.5,0.6,16,0.5489654108405766,0.625,raw baseline (a)
95,0.6,0.7,13,0.6522733276954628,0.6153846153846154,raw baseline (a)
95,0.7,0.8,10,0.7506816722759092,0.7,raw baseline (a)
95,0.8,0.9,14,0.8548160061801456,0.8571428571428571,raw baseline (a)
95,0.9,0.95,18,0.9361171455538452,0.8888888888888888,raw baseline (a)
95,0.95,1.0,183,0.9827032055672911,0.9836065573770492,raw baseline (a)
110,0.0,0.01,3584,0.0014901930903234567,0.0005580357142857143,raw baseline (a)
110,0.01,0.02,153,0.014251210282629965,0.013071895424836602,raw baseline (a)
110,0.02,0.05,136,0.03338418241879165,0.029411764705882353,raw baseline (a)
110,0.05,0.1,72,0.07073085503714273,0.1388888888888889,raw baseline (a)
110,0.1,0.2,69,0.14204954133297917,0.15942028985507245,raw baseline (a)
110,0.2,0.3,20,0.24757511839272822,0.45,raw baseline (a)
110,0.3,0.4,22,0.3479102199961845,0.3181818181818182,raw baseline (a)
110,0.4,0.5,20,0.44000600301592846,0.5,raw baseline (a)
110,0.5,0.6,16,0.5576936595523427,0.25,raw baseline (a)
110,0.6,0.7,13,0.6572977608290331,0.5384615384615384,raw baseline (a)
110,0.7,0.8,11,0.7578467556526206,0.9090909090909091,raw baseline (a)
110,0.8,0.9,28,0.8562708155383056,0.7857142857142857,raw baseline (a)
110,0.9,0.95,16,0.9258433369632504,0.8125,raw baseline (a)
110,0.95,1.0,160,0.9815338551066592,0.99375,raw baseline (a)
125,0.0,0.01,3229,0.0017685076154363535,0.0009290802105915144,raw baseline (a)
125,0.01,0.02,242,0.01417457512908055,0.004132231404958678,raw baseline (a)
